"","player_api_id","player_name","overall_rating","gk_rating","num_of_appearances","num_of_leagues"
"1",505942,"Aaron Appindangoye",67,43,5,1
"2",155782,"Aaron Cresswell",74,121,75,1
"3",162549,"Aaron Doran",71,125,90,1
"4",30572,"Aaron Galindo",75,111,7,1
"5",23780,"Aaron Hughes",78,129,162,1
"6",27316,"Aaron Hunt",79,132,155,1
"7",564793,"Aaron Kuhl",61,64,4,1
"8",30895,"Aaron Lennon",84,146,179,1
"9",528212,"Aaron Lennox",48,237,1,1
"10",101042,"Aaron Meijers",69,54,157,1
"11",23889,"Aaron Mokoena",75,154,22,1
"12",231592,"Aaron Mooy",75,54,6,1
"13",163222,"Aaron Muirhead",63,38,16,1
"14",40719,"Aaron Niguez",71,129,21,1
"15",40719,"Aaron Niguez",71,129,21,2
"16",75489,"Aaron Ramsey",83,150,116,1
"17",597948,"Aaron Splaine",55,55,2,1
"18",161644,"Aaron Taylor-Sinclair",65,49,35,1
"19",23499,"Aaron Wilbraham",67,163,1,1
"20",120919,"Aatif Chahechouhe",77,50,1,1
"21",46447,"Abasse Ba",68,111,11,1
"22",167027,"Abdelaziz Barrada",76,47,72,2
"23",167027,"Abdelaziz Barrada",76,47,72,1
"24",245653,"Abdelfettah Boukhriss",64,51,1,1
"25",128456,"Abdelhamid El Kaoutari",73,118,142,1
"26",128456,"Abdelhamid El Kaoutari",73,118,142,2
"27",42664,"Abdelkader Ghezzal",73,122,86,1
"28",42664,"Abdelkader Ghezzal",73,122,86,2
"29",425950,"Abdellah Zoubir",59,62,1,1
"30",38423,"Abdelmajid Oulmers",70,129,23,NA
"31",3264,"Abdelmalek Cherrad",62,98,1,1
"32",467485,"Abdelmalek El Hasnaoui",63,52,3,1
"33",306735,"Abdelouahed Chakhsi",56,46,68,1
"34",41659,"Abderrazak Jadid",71,133,18,1
"35",41659,"Abderrazak Jadid",71,133,18,2
"36",31684,"Abdeslam Ouaddou",NA,NA,34,1
"37",32637,"Abdessalam Benjelloun",72,102,8,1
"38",32637,"Abdessalam Benjelloun",72,102,8,2
"39",563215,"Abdou Diallo",66,41,20,1
"40",41093,"Abdou Traore",71,128,36,1
"41",564712,"Abdoul Ba",64,60,1,1
"42",67334,"Abdoul Karim Yoda",72,127,35,1
"43",67334,"Abdoul Karim Yoda",72,127,35,2
"44",173955,"Abdoul Razzagui Camara",72,124,26,1
"45",39562,"Abdoulay Konko",79,138,127,2
"46",39562,"Abdoulay Konko",79,138,127,1
"47",191784,"Abdoulaye Ba",73,65,57,2
"48",191784,"Abdoulaye Ba",73,65,57,1
"49",210400,"Abdoulaye Bamba",69,50,19,1
"50",201915,"Abdoulaye Diaby",73,50,20,1
"51",194479,"Abdoulaye Diallo Sadio,22",74,57,39,1
"52",189181,"Abdoulaye Diallo",69,341,9,1
"53",352887,"Abdoulaye Doucoure",73,68,59,2
"54",352887,"Abdoulaye Doucoure",73,68,59,1
"55",40005,"Abdoulaye Faye",76,152,81,1
"56",409003,"Abdoulaye Keita",60,54,1,1
"57",37280,"Abdoulaye Meite",79,135,42,2
"58",439366,"Abdoulaye Toure",64,48,1,NA
"59",148827,"Abdoulwahid Sissoko",69,49,30,1
"60",148827,"Abdoulwahid Sissoko",69,49,30,2
"61",173011,"Abdourahman Dampha",63,132,17,1
"62",419681,"Abdul Aziz Tetteh",67,60,13,1
"63",196947,"Abdul Majeed Waris",74,125,36,1
"64",89405,"Abdul Osman",66,131,59,1
"65",324910,"Abdul Rahman Baba",78,50,56,2
"66",324910,"Abdul Rahman Baba",78,50,56,1
"67",67952,"Abdul-Yakinu Iddi",66,121,22,1
"68",31012,"Abdulkader Keita",82,86,12,1
"69",176301,"Abdulla Fatadi",57,60,7,1
"70",307227,"Abdullah Al Hafith",65,54,3,1
"71",176302,"Abdullah Omar",62,121,29,1
"72",525595,"Abdullahi Shehu",71,65,15,1
"73",24385,"Abel Aguilar",77,142,110,3
"74",24385,"Abel Aguilar",77,142,110,1
"75",24385,"Abel Aguilar",77,142,110,2
"76",29904,"Abel Gomez",NA,NA,30,1
"77",105548,"Abel Hernandez",78,99,57,2
"78",172875,"Abel Issa Camara",69,45,27,1
"79",302985,"Abel Khaled",61,63,1,1
"80",240556,"Abel Tamata",69,40,44,1
"81",40938,"Abel",73,143,35,1
"82",37422,"Abella Perez Damia",74,141,119,1
"83",114503,"Abiola Dauda",69,118,22,1
"84",114503,"Abiola Dauda",69,118,22,2
"85",27277,"Abou Diaby",79,139,53,1
"86",27277,"Abou Diaby",79,139,53,2
"87",181344,"Aboubacar Tandia",62,113,3,1
"88",581141,"Aboubakar Kamara",61,50,1,1
"89",80592,"Aboubakar Oumarou",68,50,16,1
"90",165706,"Abraham Gonzalez",73,126,36,1
"91",210453,"Abraham Guie Gneki",70,44,11,1
"92",210453,"Abraham Guie Gneki",70,44,11,2
"93",208635,"Abraham Kudemor",65,56,6,1
"94",213695,"Abraham Minero",73,51,61,1
"95",33715,"Abraham Paz Cruz",75,148,27,1
"96",41489,"Achille Coser",61,308,1,1
"97",25571,"Achille Emana",79,144,26,1
"98",660145,"Achille Vaarnold",62,47,1,1
"99",45960,"Achmed Ahahaoui",67,126,48,1
"100",293235,"Achraf Lazaar",73,53,52,1
"101",34487,"Aco Stojkov",60,120,22,1
"102",26331,"Adailton",75,118,66,1
"103",41749,"Adailton",73,141,35,1
"104",495841,"Adalberto Penaranda",72,47,17,1
"105",519835,"Adam Armstrong",67,55,1,NA
"106",68840,"Adam Banas",66,45,98,1
"107",27534,"Adam Bodzek",72,133,27,1
"108",157303,"Adam Bogdan",73,364,25,1
"109",563198,"Adam Brown",52,57,1,1
"110",557396,"Adam Buksa",62,50,4,1
"111",365666,"Adam Campbell",62,58,4,1
"112",180197,"Adam Collin",66,323,3,1
"113",310346,"Adam Cummins",59,45,17,1
"114",68962,"Adam Danch",68,56,128,1
"115",429870,"Adam Deja",62,56,39,1
"116",23133,"Adam Drury",72,125,12,1
"117",420209,"Adam Drury",57,53,7,1
"118",308280,"Adam Duda",60,51,7,NA
"119",361712,"Adam Dzwigala",60,56,10,1
"120",38617,"Adam Federici",73,371,27,1
"121",173993,"Adam Fraczczak",68,50,66,1
"122",277313,"Adam Gyurcso",69,46,8,1
"123",40568,"Adam Hammill",73,128,7,1
"124",281079,"Adam Henley",67,52,1,1
"125",89240,"Adam Hlousek",72,133,72,1
"126",89240,"Adam Hlousek",72,133,72,2
"127",24159,"Adam Johnson",NA,NA,131,1
"128",414208,"Adam King",57,55,1,1
"129",43317,"Adam Kokoszka",67,134,86,1
"130",37234,"Adam Lallana",80,131,90,1
"131",24952,"Adam Le Fondre",73,96,9,1
"132",209372,"Adam Maher",78,48,98,1
"133",69518,"Adam Marciniak",62,52,76,1
"134",478447,"Adam Marusic",69,44,30,1
"135",500502,"Adam Masina",73,54,30,1
"136",170593,"Adam Matthews",74,133,84,1
"137",185336,"Adam Matuschyk",72,120,21,1
"138",69249,"Adam Mojta",66,58,50,1
"139",407308,"Adam Morgan",64,51,1,NA
"140",12245,"Adam Nemec",70,121,6,1
"141",12245,"Adam Nemec",70,121,6,2
"142",684978,"Adam Ounas",69,41,13,1
"143",306507,"Adam Pazio",64,63,43,1
"144",73078,"Adam Pinter",72,54,22,1
"145",31916,"Adam Rooney",NA,NA,111,1
"146",555649,"Adam Ryczkowski",56,49,3,1
"147",158861,"Adam Sarota",68,139,17,1
"148",160447,"Adam Smith",70,47,11,1
"149",36774,"Adam Szalai",77,117,94,1
"150",243068,"Adam Taggart",68,65,3,1
"151",71359,"Adam Vass",68,133,6,1
"152",495942,"Adam Waszkiewicz",52,48,14,1
"153",287224,"Adama Ba",66,53,3,1
"154",26136,"Adama Coulibaly",78,129,109,1
"155",164360,"Adama Francois",67,125,43,1
"156",357881,"Adama Soumaoro",68,54,21,1
"157",181211,"Adama Traore",75,133,38,2
"158",181211,"Adama Traore",75,133,38,1
"159",533212,"Adama Traore",68,50,5,1
"160",103866,"Adamo Coulibaly",73,42,21,1
"161",47394,"Adel Taarabt",80,135,46,1
"162",47394,"Adel Taarabt",80,135,46,2
"163",155738,"Adem Ljajic",81,137,85,1
"164",361710,"Aderlan Santos",80,56,82,1
"165",361710,"Aderlan Santos",80,56,82,2
"166",568920,"Aderlan",67,53,30,1
"167",45816,"Adil Auassar",66,126,91,1
"168",37249,"Adil Chihi",NA,NA,23,1
"169",40012,"Adil Hermach",NA,NA,54,1
"170",77741,"Adil Rami",84,136,224,1
"171",77741,"Adil Rami",84,136,224,3
"172",38612,"Adil Ramzi",NA,NA,25,1
"173",164115,"Adilson",68,60,8,1
"174",276701,"Adis Jahovic",70,56,5,1
"175",131409,"Adlene Guedioura",71,131,21,1
"176",116788,"Admir Aganovic",61,55,11,NA
"177",132844,"Admir Mehmedi",77,108,112,1
"178",132844,"Admir Mehmedi",77,108,112,2
"179",45815,"Adnan Alisic",61,45,3,1
"180",39875,"Adnan Custovic",69,134,31,1
"181",449241,"Adnan Januzaj",75,55,12,1
"182",43049,"Adnan Mravac",68,123,37,1
"183",261599,"Adnane Tighadouini",74,48,38,1
"184",261599,"Adnane Tighadouini",74,48,38,2
"185",154950,"Adrian Basta",65,62,39,1
"186",182107,"Adrian Blad",62,102,6,1
"187",121643,"Adrian Chomiuk",52,101,17,1
"188",102572,"Adrian Colunga",76,121,101,1
"189",43348,"Adrian Cristea",65,47,2,1
"190",113604,"Adrian Daniel Calello",61,56,6,1
"191",482331,"Adrian Embarba",73,50,27,1
"192",40501,"Adrian Gonzalez",73,137,124,1
"193",178574,"Adrian Gunino",69,144,50,2
"194",178574,"Adrian Gunino",69,144,50,1
"195",78537,"Adrian Klepczynski",62,53,70,1
"196",45744,"Adrian Lopez",81,126,133,1
"197",45744,"Adrian Lopez",81,126,133,2
"198",23358,"Adrian Mariappa",73,119,63,1
"199",571685,"Adrian Marin",72,53,7,1
"200",105526,"Adrian Mrowiec",64,133,61,1
"201",105526,"Adrian Mrowiec",64,133,61,2
"202",39311,"Adrian Mutu",85,100,104,2
"203",39311,"Adrian Mutu",85,100,104,1
"204",112976,"Adrian Nikci",68,128,37,1
"205",112976,"Adrian Nikci",68,128,37,2
"206",116881,"Adrian Paluchowski",61,117,5,NA
"207",239253,"Adrian Rakowski",63,41,18,1
"208",50345,"Adrian Ramos",79,102,81,1
"209",323385,"Adrian Ricardo Centurion",74,39,3,1
"210",42431,"Adrian Ricchiuti",75,148,33,1
"211",183482,"Adrian Sardinero Corpa",66,114,1,1
"212",168047,"Adrian Stoian",72,141,4,1
"213",114790,"Adrian Winter",66,121,90,1
"214",169756,"Adrian",78,388,121,2
"215",167648,"Adriano De Pierro",59,130,16,1
"216",280969,"Adriano Facchini",72,363,59,1
"217",39190,"Adriano Ferreira Pinto",75,145,48,1
"218",172172,"Adriano Jose de Lara",65,41,1,1
"219",39199,"Adriano Pereira da Silva",69,126,61,1
"220",38122,"Adriano Russo",68,50,9,1
"221",121923,"Adriano",69,125,1,1
"222",30690,"Adriano",89,118,11,1
"223",33992,"Adriano",79,147,120,1
"224",41109,"Adriano",NA,NA,8,1
"225",171737,"Adrien Goni",63,132,1,1
"226",447107,"Adrien Hunou",65,44,1,1
"227",352879,"Adrien Rabiot",77,52,45,1
"228",557353,"Adrien Rawyler",50,36,1,1
"229",188413,"Adrien Regattin",77,123,47,1
"230",40930,"Adrien Silva",80,106,119,1
"231",317062,"Adrien Thomasson",73,60,36,1
"232",242719,"Adrien Trebel",74,61,38,1
"233",242719,"Adrien Trebel",74,61,38,2
"234",263276,"Adryan",73,43,21,2
"235",263276,"Adryan",73,43,21,1
"236",35608,"Afonso Alves,24",84,130,18,1
"237",361711,"Afonso",74,52,43,1
"238",213366,"Afriyie Acquah",74,39,73,1
