"","team_api_id","team_long_name","team_short_name","build_sum","chance_sum","defence_sum","goals"
"1",9987,"KRC Genk","GEN",NA,182,205,348
"2",9993,"Beerschot AC","BAC",NA,185,210,174
"3",10000,"SV Zulte-Waregem","ZUL",NA,153,200,306
"4",9994,"Sporting Lokeren","LOK",NA,154,200,279
"5",9984,"KSV Cercle Brugge","CEB",NA,200,195,213
"6",8635,"RSC Anderlecht","AND",NA,182,190,427
"7",9991,"KAA Gent","GEN",NA,184,166,390
"8",9998,"RAEC Mons","MON",NA,168,138,129
"9",7947,"FCV Dender EH","DEN",NA,NA,NA,44
"10",9985,"Standard de Liège","STL",NA,182,205,341
"11",8203,"KV Mechelen","MEC",NA,150,190,285
"12",8342,"Club Brugge KV","CLB",NA,170,200,421
"13",9999,"KSV Roeselare","ROS",NA,125,205,62
"14",8571,"KV Kortrijk","KOR",NA,159,185,267
"15",4049,"Tubize","TUB",NA,NA,NA,35
"16",9996,"Royal Excel Mouscron","MOU",150,150,140,42
"17",10001,"KVC Westerlo","WES",NA,167,210,217
"18",9986,"Sporting Charleroi","CHA",NA,148,210,201
"19",9997,"Sint-Truidense VV","STT",NA,154,150,115
"20",9989,"Lierse SK","LIE",NA,169,159,113
"21",6351,"KAS Eupen","EUP",NA,160,155,28
"22",1773,"Oud-Heverlee Leuven","O-H",NA,157,137,126
"23",8475,"Waasland-Beveren","WAA",NA,140,114,105
"24",8573,"KV Oostende","OOS",155,140,133,102
"25",274581,"Royal Excel Mouscron","MOP",150,150,140,71
"26",10260,"Manchester United","MUN",NA,200,163,582
"27",10261,"Newcastle United","NEW",NA,195,161,324
"28",9825,"Arsenal","ARS",NA,150,170,573
"29",8659,"West Bromwich Albion","WBA",NA,195,210,305
"30",8472,"Sunderland","SUN",NA,195,165,333
"31",8650,"Liverpool","LIV",NA,180,172,531
"32",8654,"West Ham United","WHU",NA,171,140,326
"33",8528,"Wigan Athletic","WIG",NA,190,165,200
"34",10252,"Aston Villa","AVL",NA,185,145,335
"35",8456,"Manchester City","MCI",NA,210,180,606
"36",8668,"Everton","EVE",NA,180,180,439
"37",8655,"Blackburn Rovers","BLB",NA,185,160,175
"38",8549,"Middlesbrough","MID",NA,190,147,28
"39",8586,"Tottenham Hotspur","TOT",NA,210,181,481
"40",8559,"Bolton Wanderers","BOL",NA,185,154,181
"41",10194,"Stoke City","STK",NA,195,153,322
"42",8667,"Hull City","HUL",NA,195,210,144
"43",9879,"Fulham","FUL",NA,190,138,265
"44",8455,"Chelsea","CHE",NA,200,168,583
"45",8462,"Portsmouth","POR",NA,195,150,72
"46",8658,"Birmingham City","BIR",NA,210,210,75
"47",8602,"Wolverhampton Wanderers","WOL",NA,210,210,118
"48",8191,"Burnley","BUR",NA,210,205,70
"49",8483,"Blackpool","BLA",NA,205,210,55
"50",10003,"Swansea City","SWA",NA,210,210,233
"51",10172,"Queens Park Rangers","QPR",NA,210,210,115
"52",9850,"Norwich City","NOR",NA,195,200,160
"53",8466,"Southampton","SOU",NA,205,210,216
"54",9798,"Reading","REA",NA,210,200,43
"55",9826,"Crystal Palace","CRY",NA,205,185,119
"56",8344,"Cardiff City","CAR",NA,210,210,32
"57",8197,"Leicester City","LEI",NA,185,210,114
"58",8678,"Bournemouth","BOU",NA,200,210,45
"59",9817,"Watford","WAT",NA,205,205,40
"60",8583,"AJ Auxerre","AUX",NA,164,145,168
"61",9830,"FC Nantes","NAN",NA,160,152,135
"62",9827,"Girondins de Bordeaux","BOR",NA,190,195,404
"63",7819,"SM Caen","CAE",NA,165,205,220
"64",9746,"Le Havre AC","LEH",NA,180,168,30
"65",9831,"OGC Nice","NIC",NA,165,210,342
"66",8682,"Le Mans FC","LEM",NA,195,200,79
"67",8689,"FC Lorient","LOR",NA,180,200,378
"68",9748,"Olympique Lyonnais","LYO",NA,185,200,497
"69",9941,"Toulouse FC","TOU",NA,165,140,339
"70",9829,"AS Monaco","MON",NA,165,205,287
"71",9847,"Paris Saint-Germain","PSG",NA,191,210,568
"72",8481,"AS Nancy-Lorraine","NAN",NA,172,210,203
"73",8639,"LOSC Lille","LIL",NA,184,180,450
"74",9851,"Stade Rennais FC","REN",NA,195,210,367
"75",8592,"Olympique de Marseille","MAR",NA,210,200,462
"76",9874,"FC Sochaux-Montbéliard","SOC",NA,184,165,246
"77",9855,"Grenoble Foot 38","GRE",NA,195,195,55
"78",9873,"Valenciennes FC","VAL",NA,188,155,256
"79",9853,"AS Saint-Étienne","ETI",NA,175,148,371
"80",8588,"RC Lens","LEN",NA,180,200,107
"81",10249,"Montpellier Hérault SC","MON",NA,160,210,344
"82",4170,"US Boulogne Cote D'Opale","BOU",NA,165,200,31
"83",108893,"AC Arles-Avignon","ARL",NA,141,158,21
"84",8521,"Stade Brestois 29","BRE",NA,168,210,99
"85",8576,"AC Ajaccio","AJA",NA,180,140,116
"86",4087,"Évian Thonon Gaillard FC","ETG",NA,180,165,180
"87",9836,"Dijon FCO","DIJ",NA,165,149,38
"88",9837,"Stade de Reims","REI",NA,165,140,168
"89",7794,"SC Bastia","BAS",NA,156,210,165
"90",10242,"ES Troyes AC","TRO",NA,150,140,71
"91",9747,"En Avant de Guingamp","GUI",NA,170,145,122
"92",8550,"FC Metz","MET",NA,175,150,31
"93",8121,"Angers SCO","ANG",NA,180,140,40
"94",6391,"GFC Ajaccio","GAJ",NA,179,146,37
"95",9823,"FC Bayern Munich","BMU",NA,205,184,653
"96",9790,"Hamburger SV","HAM",NA,200,175,344
"97",8178,"Bayer 04 Leverkusen","LEV",NA,210,200,483
"98",9789,"Borussia Dortmund","DOR",NA,194,178,551
"99",10189,"FC Schalke 04","S04",NA,195,185,426
"100",9904,"Hannover 96","HAN",NA,175,210,359
"101",8721,"VfL Wolfsburg","WOL",NA,210,171,463
"102",8722,"1. FC Köln","FCK",NA,165,170,226
"103",9810,"Eintracht Frankfurt","EFR",NA,165,151,296
"104",8177,"Hertha BSC Berlin","HBE",NA,172,155,238
"105",9912,"DSC Arminia Bielefeld","BIE",NA,165,138,29
"106",8697,"SV Werder Bremen","WBR",NA,216,205,423
"107",8398,"FC Energie Cottbus","COT",NA,175,206,30
"108",8226,"TSG 1899 Hoffenheim","HOF",NA,191,200,400
"109",9788,"Borussia Mönchengladbach","GLA",NA,185,160,403
"110",10269,"VfB Stuttgart","STU",NA,200,175,415
"111",8295,"Karlsruher SC","KAR",NA,205,170,30
"112",9911,"VfL Bochum","BOC",NA,172,172,72
"113",8358,"SC Freiburg","FRE",NA,160,158,245
"114",8165,"1. FC Nürnberg","NUR",NA,180,162,193
"115",9905,"1. FSV Mainz 05","MAI",NA,185,170,320
"116",8350,"1. FC Kaiserslautern","KAI",NA,185,210,72
"117",8152,"FC St. Pauli","STP",NA,190,185,35
"118",8406,"FC Augsburg","AUG",NA,188,161,201
"119",8194,"Fortuna Düsseldorf","FDU",NA,190,169,39
"120",8357,"SpVgg Greuther Fürth","GRF",NA,170,170,26
"121",9776,"Eintracht Braunschweig","BRA",NA,195,157,29
"122",8460,"SC Paderborn 07","PAD",NA,168,145,31
"123",8234,"FC Ingolstadt 04","ING",NA,151,140,33
"124",8262,"SV Darmstadt 98","DAR",179,174,129,38
"125",8524,"Atalanta","ATA",NA,170,165,283
"126",8551,"Siena","SIE",NA,183,160,149
"127",8529,"Cagliari","CAG",NA,196,187,309
"128",8543,"Lazio","LAZ",NA,220,190,417
"129",8530,"Catania","CAT",NA,178,147,251
"130",10233,"Genoa","GEN",NA,182,154,392
"131",8533,"Chievo Verona","CHI",NA,170,165,285
"132",8690,"Reggio Calabria","REG",NA,186,140,30
"133",8535,"Fiorentina","FIO",NA,172,184,440
"134",9885,"Juventus","JUV",NA,195,169,543
"135",8564,"Milan","ACM",NA,177,164,496
"136",9857,"Bologna","BOL",NA,175,135,263
"137",8686,"Roma","ROM",NA,208,155,530
"138",9875,"Napoli","NAP",NA,215,165,514
"139",9882,"Sampdoria","SAM",NA,180,175,318
"140",8636,"Inter","INT",NA,203,165,496
"141",9804,"Torino","TOR",NA,189,145,241
"142",9888,"Lecce","LEC",NA,175,165,121
"143",8600,"Udinese","UDI",NA,199,160,415
"144",8540,"Palermo","PAL",NA,165,152,351
"145",9976,"Bari","BAR",NA,193,161,76
"146",8537,"Livorno","LIV",NA,172,163,66
"147",10167,"Parma","PAR",NA,176,166,272
"148",9880,"Cesena","CES",NA,170,145,98
"149",9858,"Brescia","BRE",NA,180,155,34
"150",6269,"Novara","NOV",NA,172,151,34
"151",9878,"Pescara","PES",NA,180,145,27
"152",9876,"Hellas Verona","VER",NA,173,169,145
"153",7943,"Sassuolo","SAS",NA,186,138,141
"154",8534,"Empoli","EMP",NA,186,164,86
"155",9891,"Frosinone","FRO",NA,156,193,35
"156",208931,"Carpi","CAP",190,160,141,37
"157",8277,"Vitesse","VIT",NA,173,180,423
"158",8674,"FC Groningen","GRO",NA,177,149,390
"159",9803,"Roda JC Kerkrade","ROD",NA,159,146,343
"160",8611,"FC Twente","TWE",NA,172,197,509
"161",8525,"Willem II","WII",NA,166,153,222
"162",8593,"Ajax","AJA",NA,199,193,647
"163",8464,"N.E.C.","NEC",NA,158,146,310
"164",8526,"De Graafschap","GRA",NA,153,137,130
"165",9908,"FC Utrecht","UTR",NA,182,159,408
"166",8640,"PSV","PSV",NA,200,167,652
"167",9791,"Heracles Almelo","HER",NA,173,169,403
"168",10235,"Feyenoord","FEY",NA,165,160,489
"169",8614,"Sparta Rotterdam","SPA",NA,140,90,76
"170",10217,"ADO Den Haag","HAA",NA,181,173,366
"171",6601,"FC Volendam","VOL",NA,NA,NA,38
