"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"1","10577","ANTH","211","F01","Introduction to Anthropology","1.0","Brightman","M-W","03:10PM04:30","ELIOT414"
"2","20573","ANTH","344","S01","Sex and Gender","1.0","Makley","T-Th","10:30AM11:50","VOLLUM120"
"3","10624","BIOL","431","F01","Field Biology of Amphibians","0.5","Kaplan","T","06:10PM08:00","PHYSIC240A"
"4","10626","BIOL","431","F03","Bacterial Pathogenesis","0.5","","","","Mellies         RESCHEDULED TO OTHER SEMESTER"
"5","20626","BIOL","431","S04","Seminar in Biology","0.5","Yezerinac","Th","06:10PM08:00","BIOL200A"
"6","10543","CHEM","101","F","MolecularStructure and Properties","1.0","Geselbracht","M-W-F","11:00AM11:50","VOLLUMVLH"
"7","10544","CHEM","101","F01","MolecularStructure and Properties","0.0","Geselbracht","M","01:10PM02:00","CHEM301"
"8","10545","CHEM","101","F02","MolecularStructure and Properties","0.0","Geselbracht","M","02:10PM03:00","CHEM301"
"9","10546","CHEM","101","F03","MolecularStructure and Properties","0.0","Geselbracht","M","03:10PM04:00","CHEM301"
"10","10789","CHEM","101","F08","MolecularStructure and Properties","0.0","Geselbracht","T","11:00AM11:50","PHYSIC123"
"11","10547","CHEM","101","F04","MolecularStructure and Properties","0.0","Geselbracht","T","01:10PM02:00","CHEM301"
"12","10548","CHEM","101","F05","MolecularStructure and Properties","0.0","Geselbracht","T","02:10PM03:00","CHEM301"
"13","20575","ANTH","344","S02","Sex and Gender","1.0","Makley","T-Th","01:10PM02:30","VOLLUM110"
"14","10549","CHEM","101","F06","MolecularStructure and Properties","0.0","Geselbracht","T","03:10PM04:00","CHEM301"
"15","10550","CHEM","101","F07","MolecularStructure and Properties","0.0","Geselbracht","T","04:10PM05:00","CHEM301"
"16","10551","CHEM","101","FL1","MolecularStructure and Properties","0.0","Geselbracht","M","01:10PM04:00","CHEM308"
"17","10555","CHEM","101","FL5","MolecularStructure and Properties","0.0","Geselbracht","T","09:00AM11:50","CHEM308"
"18","10552","CHEM","101","FL2","MolecularStructure and Properties","0.0","Geselbracht","T","01:10PM04:00","CHEM308"
"19","10553","CHEM","101","FL3","MolecularStructure and Properties","0.0","Geselbracht","W","01:10PM04:00","CHEM308"
"20","10557","CHEM","101","FL7","MolecularStructure and Properties","0.0","Geselbracht","W","06:10PM09:00","CHEM308"
"21","10556","CHEM","101","FL6","MolecularStructure and Properties","0.0","Geselbracht","Th","09:00AM11:50","CHEM308"
"22","10554","CHEM","101","FL4","MolecularStructure and Properties","0.0","Geselbracht","Th","01:10PM04:00","CHEM308"
"23","10558","CHEM","101","FL8","MolecularStructure and Properties","0.0","Geselbracht","F","02:10PM05:00","CHEM308"
"24","20483","ANTH","348","S","Languages the Americas:Mayan","1.0","Haviland","T","06:10PM09:00","ELIOT419"
"25","20537","CHEM","102","S","Chemical Reactivity","1.0","Glasfeld","M-W-F","11:00AM11:50","VOLLUMVLH"
"26","20538","CHEM","102","S01","Chemical Reactivity","0.0","Glasfeld","M","02:10PM03:00","CHEM301"
"27","20539","CHEM","102","S02","Chemical Reactivity","0.0","Glasfeld","M","03:10PM04:00","CHEM301"
"28","20540","CHEM","102","S03","Chemical Reactivity","0.0","Glasfeld","T","02:10PM03:00","CHEM301"
"29","20541","CHEM","102","S04","Chemical Reactivity","0.0","Glasfeld","T","03:10PM04:00","CHEM301"
"30","20542","CHEM","102","S05","Chemical Reactivity","0.0","Glasfeld","T","04:10PM05:00","PHYSIC123"
"31","20543","CHEM","102","SL1","Chemical Reactivity","0.0","Glasfeld","M","01:10PM04:00","CHEM308"
"32","20544","CHEM","102","SL2","Chemical Reactivity","0.0","Glasfeld","T","01:10PM04:00","CHEM308"
"33","20545","CHEM","102","SL3","Chemical Reactivity","0.0","Glasfeld","W","01:10PM04:00","CHEM308"
"34","20546","CHEM","102","SL4","Chemical Reactivity","0.0","Glasfeld","Th","01:10PM04:00","CHEM308"
"35","20667","ANTH","352","S","Anthropology of Europe","1.0","Silverstein","T-Th","10:30AM11:50","LIB203"
"36","20547","CHEM","102","SL5","Chemical Reactivity","0.0","Glasfeld","F","02:10PM05:00","CHEM308"
"37","10559","CHEM","201","F","Organic Chemistry I","1.0","Shusterman","M-W-F","09:00AM09:50","PSYCH105"
"38","10560","CHEM","201","F01","Organic Chemistry I","0.0","Shusterman","Th","08:00AM08:50","PHYSIC123"
"39","10561","CHEM","201","F02","Organic Chemistry I","0.0","Shusterman","Th","09:00AM09:50","PHYSIC121"
"40","10562","CHEM","201","F03","Organic Chemistry I","0.0","Shusterman","Th","11:00AM11:50","PHYSIC123"
"41","10563","CHEM","201","F04","Organic Chemistry I","0.0","Shusterman","Th","12:00PM12:50","PHYSIC123"
"42","10565","CHEM","201","FL1","Organic Chemistry I","0.0","Shusterman","M","01:10PM05:00","CHEM209"
"43","10566","CHEM","201","FL2","Organic Chemistry I","0.0","Shusterman","T","01:10PM05:00","CHEM209"
"44","10567","CHEM","201","FL3","Organic Chemistry I","0.0","Shusterman","W","01:10PM05:00","CHEM209"
"45","20548","CHEM","202","S","Organic Chemistry II","1.0","McDougal","M-W-F","09:00AM09:50","PSYCH105"
"46","20571","ANTH","357","S","Prob in IndonesianEthnography","1.0","Stasch","T-Th","02:40PM04:00","VOLLUM309"
"47","20549","CHEM","202","S01","Organic Chemistry II","0.0","McDougal","Th","08:00AM08:50","PHYSIC123"
"48","20550","CHEM","202","S02","Organic Chemistry II","0.0","McDougal","Th","09:00AM09:50","PHYSIC121"
"49","20551","CHEM","202","S03","Organic Chemistry II","0.0","McDougal","Th","11:00AM11:50","PHYSIC121"
"50","20552","CHEM","202","S04","Organic Chemistry II","0.0","McDougal","Th","12:00PM12:50","PHYSIC123"
"51","20554","CHEM","202","SL1","Organic Chemistry II","0.0","McDougal","M","01:10PM05:00","CHEM209"
"52","20555","CHEM","202","SL2","Organic Chemistry II","0.0","McDougal","T","01:10PM05:00","CHEM209"
"53","20556","CHEM","202","SL3","Organic Chemistry II","0.0","McDougal","W","01:10PM05:00","CHEM209"
"54","20557","CHEM","212","S","Intro Inorganic Chemistry","1.0","Geselbracht","M-W-F","11:00AM11:50","CHEM301"
"55","20559","CHEM","212","SL1","Intro Inorganic Chemistry","0.0","Geselbracht","W","02:10PM05:00","CHEM214"
"56","20560","CHEM","212","SL2","Intro Inorganic Chemistry","0.0","Geselbracht","F","02:10PM05:00","CHEM214"
"57","10605","ANTH","362","F","Gender and Ethnicity China, Tibet","1.0","Makley","T-Th","10:30AM11:50","VOLLUM228"
"58","10582","CHEM","225","F","Environmental Chemistry","0.5","Dunne","M-W","10:00AM10:50","CHEM301"
"59","10568","CHEM","271","F","Analytical Chemistry","1.0","McClard","T-Th","10:30AM11:50","CHEM301"
"60","10569","CHEM","271","FL1","Analytical Chemistry","0.0","McClard","Th","01:10PM05:00","CHEM313"
"61","10570","CHEM","271","FL2","Analytical Chemistry","0.0","McClard","F","01:10PM05:00","CHEM313"
"62","20561","CHEM","316","S","Physical Chemistry Laboratory","0.5","Ahmadi","T","10:30AM11:50","CHEM301"
"63","20563","CHEM","324","S","Computational Organic Chem","0.5","Shusterman","M-W-F","10:00AM10:50","CHEM301"
"64","20564","CHEM","332","S","Statistical Thermodynamics","1.0","Ahmadi","M-W-F","09:00AM09:50","CHEM301"
"65","10571","CHEM","333","F","Quantum Mechanics  and  MolStruct","1.0","Ahmadi","M-W-F","09:00AM09:50","CHEM301"
"66","20565","CHEM","334","S","Advanced Inorganic Chemistry","0.5","Geselbracht","T-Th","09:00AM10:20","PSYCH103"
"67","10572","CHEM","343","F","Adv Synth Organic Chemistry","1.0","McDougal","M-W-F","11:00AM11:50","CHEM301"
"68","20570","ANTH","368","S","Myth","1.0","Stasch","T-Th","01:10PM02:30","VOLLUM126"
"69","10574","CHEM","391","F","Structural Biochemistry","0.5","Glasfeld","T-Th","09:00AM10:20","CHEM301"
"70","10576","CHEM","391","F02","Structural Biochemistry","0.0","Glasfeld","W","04:10PM05:00","CHEM301"
"71","10575","CHEM","391","F01","Structural Biochemistry","0.0","Glasfeld","T","04:10PM05:00","PHYSIC121"
"72","20566","CHEM","392","S","Metabolic Biochemistry","0.5","McClard","T-Th","09:00AM10:20","CHEM301"
"73","20567","CHEM","394","S","Biochemical Methods","0.5","McClard","M","06:10PM07:00","CHEM301"
"74","20568","CHEM","394","SL1","Biochemical Methods","0.0","McClard","T","01:10PM05:00","CHEM313"
"75","20569","CHEM","394","SL2","Biochemical Methods","0.0","McClard","W","01:10PM05:00","CHEM313"
"76","10377","CHIN","110","Y","First Year Chinese","1.0","","","","Staff           M-T-W-Th-F12:00     VOLLUM  120"
"77","10118","CHIN","210","Y","Second Year Chinese","1.0","","","","Staff           M-T-W-Th-F12:00     ELIOT   123"
